Id,PID,Lot Frontage,Lot Area,Overall Qual,Overall Cond,Bsmt Qual,Bsmt Exposure,Total Bsmt SF,Heating QC,Bedroom AbvGr,Fireplaces,Garage Cars,SalePrice,Street_isPaved,Lotshape_isRegular,isSlopeNormal,is_remodeled,is_roofGable,hasgood_Exterior,is_fullfurnished,has_centralAir,total_full_baths,total_half_baths,has_1pluskitchen,has_paveddriveway,has_pool,has_Porch,isNeigh_collgcr_oldtown,is_densityHigh,log_SalePrice,Foundation_PConc,Sale Type_New Home,proximity_to_veryClose,House_style_1_story,House_style_Splitlevel,house_age_Contemporary,house_age_Medieval,house_age_Stone-age
324,923202105,93,10114,5,5,5,3,1430,5,3,0,2,173500,1,1,1,1,1,1,0,1,2,0,0,1,0,0,0,0,12.063932878369052,1,0,0,1,0,1,0,0
1311,902301140,34,4571,5,5,3,1,624,2,4,0,3,98000,1,1,1,0,1,1,0,0,1,0,0,1,0,1,1,1,11.49272275765271,0,0,0,0,0,0,0,1
770,905101490,80,8816,5,6,3,1,1121,3,3,0,2,139000,1,1,1,0,1,1,0,1,2,0,0,1,0,1,0,1,11.842229212112828,1,0,1,1,0,0,0,0
2063,905107140,71,8197,6,5,3,1,660,5,3,1,2,143500,1,1,1,0,1,1,0,1,1,1,0,1,0,0,0,1,11.874090314181814,0,0,0,1,0,0,0,0
69,528458070,72,8640,7,5,4,2,756,5,3,0,2,215200,1,1,1,1,1,1,0,1,2,1,0,1,0,1,0,1,12.279323107269766,1,0,0,0,0,1,0,0
2062,905106150,109,8724,5,5,4,1,894,4,3,1,2,129000,1,1,1,0,1,1,0,1,1,0,0,1,0,0,0,1,11.76756768334381,0,0,0,1,0,0,0,0
351,527131030,40,5664,8,5,4,1,1501,5,2,1,2,278000,1,0,1,1,1,1,0,1,3,0,0,1,0,1,0,0,12.535376392672774,1,0,0,1,0,1,0,0
2393,528142010,103,12867,8,5,5,3,1209,5,3,1,2,344133,1,0,1,1,1,1,0,1,2,1,0,1,0,1,0,1,12.748783489541202,1,1,0,0,0,1,0,0
12,527165230,68,7980,6,7,4,1,1168,5,3,0,2,185000,1,0,1,1,1,1,0,1,3,0,0,1,0,1,0,1,12.128111104060462,1,0,0,1,0,0,1,0
624,535104120,92,10573,6,6,3,1,1453,5,3,1,2,187500,1,0,1,0,0,1,0,1,3,0,0,1,0,1,0,1,12.141534124392603,0,0,0,1,0,0,0,0
86,532376160,65,8450,5,8,3,1,894,5,3,1,1,138500,1,1,1,1,1,1,0,1,2,0,0,1,0,1,0,1,11.83862560460953,0,0,1,1,0,0,0,0
1534,909277040,68,11700,5,6,3,1,942,5,4,1,1,198000,1,0,0,0,1,1,0,1,2,0,0,1,0,1,0,0,12.196022309676673,0,0,0,0,0,0,0,1
2243,911103060,75,8250,5,6,3,1,957,2,4,0,0,119600,1,1,1,1,1,1,0,0,2,0,1,0,0,1,0,0,11.691908120498669,0,0,1,0,0,0,0,1
1957,535450190,60,8064,5,7,3,2,672,5,3,1,2,122900,1,1,1,1,1,1,0,1,1,0,0,1,0,0,0,1,11.719126295554126,0,0,1,0,0,0,0,1
380,527355150,80,9600,8,5,4,1,2524,3,4,1,2,278000,1,1,1,0,0,1,0,1,3,1,0,1,0,1,0,0,12.535376392672774,1,0,0,1,0,0,1,0
2860,909276010,68,11435,8,7,4,1,792,2,3,2,2,230000,1,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,12.345834587905333,1,0,0,0,0,0,0,1
2517,533250130,30,9549,8,5,4,3,1494,5,2,1,2,270000,1,0,1,0,0,1,0,1,2,1,0,1,0,1,0,0,12.506177237980511,1,0,0,1,0,0,1,0
1933,535302070,60,10950,6,6,3,1,948,3,2,0,2,125000,1,1,1,0,0,1,0,1,1,0,0,0,0,1,0,1,11.736069016284437,0,0,0,1,0,0,0,0
820,906340110,79,10637,8,5,5,4,1705,5,3,1,3,297000,1,1,1,1,0,1,0,1,3,0,0,1,0,1,1,1,12.601487417784837,1,0,0,1,0,1,0,0
675,535426150,80,9000,6,6,4,4,160,2,2,1,1,113500,1,0,0,0,0,1,0,1,1,0,0,1,0,1,0,1,11.639558115903595,0,0,0,1,0,0,0,0
2910,923225240,41,2665,5,6,3,1,757,5,4,1,1,127000,1,1,1,0,1,1,0,1,2,0,0,1,0,1,0,0,11.751942365440728,1,0,0,0,0,0,0,0
21,527358140,105,11751,6,6,4,1,1844,5,3,1,2,190000,1,0,1,0,0,1,0,1,2,0,0,1,0,1,0,0,12.154779351142624,0,0,0,1,0,0,0,0
1873,534177210,80,9600,7,6,3,1,1242,2,3,1,2,175500,1,1,1,0,0,1,0,1,1,1,0,1,0,0,0,0,12.075394321888057,0,0,0,1,0,0,0,0
2125,907135050,60,8428,5,7,4,1,990,5,3,0,1,146000,1,0,1,0,1,1,0,1,2,0,0,1,0,0,1,1,11.891361900690473,1,0,0,1,0,0,1,0
1489,908102260,75,9937,5,6,3,1,1256,4,3,0,1,147500,1,1,1,0,1,1,0,1,2,1,0,1,0,1,1,1,11.901583454762012,0,0,0,1,0,0,0,0
2383,528110050,107,13891,10,5,5,4,2076,5,2,1,3,465000,1,1,1,1,1,1,0,1,3,1,0,1,0,1,0,1,13.049792684569493,1,1,0,1,0,1,0,0
983,923275040,68,9101,5,6,4,3,1097,5,1,1,2,165500,1,0,1,0,1,1,0,1,2,0,0,1,0,1,0,0,12.016726473799254,1,0,0,0,1,0,0,0
1325,902406090,81,12150,5,5,3,1,1050,5,4,0,1,131500,1,1,1,0,1,1,0,0,2,0,0,1,0,0,1,1,11.786762130599957,0,0,0,0,0,0,0,0
1378,905102170,70,11200,5,5,3,1,1040,5,3,0,1,129500,1,1,1,0,0,1,0,1,2,0,0,1,0,0,0,1,11.771436160121729,0,0,0,1,0,0,0,0
1537,909281110,100,9670,8,6,3,1,608,3,4,2,2,257076,1,0,0,0,1,1,0,1,1,1,0,1,0,1,0,0,12.45712704000522,1,0,0,0,0,0,0,1
905,909101140,60,10998,5,5,3,1,984,5,3,0,2,117000,1,1,1,0,1,1,0,1,2,0,0,1,0,1,1,1,11.669929213779893,0,0,0,0,0,0,0,1
1532,909275050,60,7200,7,6,4,1,776,3,3,1,1,149000,1,1,0,1,1,0,0,1,1,1,0,0,0,1,0,0,11.911701584927597,0,0,0,0,0,0,0,1
132,534475100,80,9920,5,5,3,1,1056,3,3,0,1,128000,1,1,1,0,1,1,0,1,2,0,0,1,0,1,0,1,11.759785542901755,0,0,0,1,0,0,0,0
1078,528188090,36,2448,7,5,4,1,764,5,2,0,2,155000,1,1,1,1,1,1,0,1,2,1,0,1,0,1,0,1,11.951180395901384,1,0,0,0,0,1,0,0
2511,533221080,68,2998,6,5,4,1,756,5,2,0,2,166000,1,1,1,1,1,1,0,1,2,1,0,1,0,1,0,1,12.01974306733868,1,0,0,0,0,1,0,0
912,909250220,65,7804,4,3,3,1,1122,3,4,2,2,135000,1,1,1,0,1,1,0,1,3,0,0,1,0,1,0,0,11.813030057420567,0,0,0,0,0,0,0,1
2351,527356020,80,16692,7,5,4,1,1392,3,5,2,2,250000,1,0,1,0,1,1,0,1,4,1,0,1,1,1,0,0,12.429216196844383,0,0,1,0,0,0,0,0
330,923226250,21,1476,4,7,3,1,546,5,3,0,0,76000,1,1,1,0,1,1,0,1,1,1,0,1,0,1,0,0,11.238488619268468,0,0,0,0,0,0,0,0
2586,535305120,75,10170,6,6,3,1,216,3,2,1,2,155000,1,1,1,0,0,1,0,1,1,1,0,1,0,0,0,1,11.951180395901384,0,0,0,1,0,0,0,0
224,905106140,80,9364,6,7,3,1,663,3,4,0,1,158000,1,1,1,0,1,1,0,1,1,1,0,1,0,1,0,1,11.970350312009105,0,0,0,0,0,0,0,0
98,533212020,24,2544,7,5,4,1,600,5,2,0,2,149500,1,1,1,1,1,1,0,1,3,1,0,1,0,1,0,1,11.915051671812877,1,0,0,0,0,1,0,0
2565,534479300,82,9888,5,6,3,1,936,3,2,0,1,121000,1,1,1,0,1,1,0,1,1,0,0,1,0,1,0,1,11.703545824578878,0,0,0,1,0,0,0,0
1934,535304170,68,7942,6,7,3,1,1040,3,3,0,1,136000,1,1,1,0,0,1,0,1,1,1,0,1,0,0,0,1,11.820410164718188,0,0,0,1,0,0,0,0
997,527107010,68,15038,6,5,4,1,916,4,3,1,2,173000,1,0,1,0,1,1,0,1,2,1,0,1,0,1,0,1,12.061046873479915,1,0,0,0,0,0,1,0
64,528382020,92,11764,8,7,4,1,1152,5,4,1,3,290000,1,0,1,1,1,1,0,1,2,1,0,1,0,1,0,0,12.577636201962656,1,0,0,0,0,0,1,0
1799,528458130,75,9000,8,5,4,3,1184,5,4,1,2,303477,1,1,1,1,1,1,0,1,2,1,0,1,0,1,0,1,12.623061104072981,1,1,0,0,0,1,0,0
230,905109170,68,20062,7,7,4,4,1420,4,1,2,2,270000,1,0,0,1,0,1,0,1,2,1,0,1,0,0,0,0,12.506177237980511,0,0,0,1,0,0,0,0
1295,902109160,81,7308,5,5,3,1,936,4,2,1,1,122250,1,1,1,0,1,0,0,0,1,0,0,0,0,1,1,1,11.713823407337118,0,0,1,0,0,0,0,1
638,535178120,70,8750,5,5,3,1,1382,4,3,0,1,153000,1,1,1,0,1,1,0,1,1,1,0,1,0,0,0,1,11.938193200374572,0,0,0,1,0,0,0,0
2278,923202134,70,8402,5,5,4,1,1120,5,3,0,0,147000,1,1,1,1,1,1,0,1,1,0,0,1,0,1,0,0,11.898187865760873,1,1,1,1,0,1,0,0
2202,909252150,63,4000,7,8,4,1,531,3,2,1,1,148500,1,1,1,0,1,1,0,1,2,0,0,1,0,0,0,0,11.908340237224891,0,0,0,0,0,0,0,1
2833,908188150,32,3363,7,5,4,1,976,5,3,0,2,130000,1,1,1,1,1,1,0,1,2,0,0,1,0,1,1,1,11.77528972943772,1,0,0,0,0,1,0,0
1707,528150040,94,13615,9,5,5,4,1802,5,3,1,3,372000,1,0,0,1,0,1,0,1,2,1,0,1,0,1,0,1,12.826649133255284,1,0,0,1,0,1,0,0
2428,528228565,43,3013,7,5,4,4,1362,5,2,1,2,213490,1,1,1,1,1,1,0,1,2,0,0,1,0,1,0,0,12.27134527214637,1,0,0,1,0,1,0,0
242,905453080,44,17485,7,5,4,4,1508,5,1,2,2,308030,1,0,1,1,1,1,0,1,2,0,0,1,0,0,1,1,12.637952459809789,1,0,0,1,0,1,0,0
2613,535403150,79,8910,6,6,3,2,655,5,3,1,2,159500,1,1,1,0,0,1,0,1,1,1,0,1,0,1,0,1,11.979799201207037,0,0,0,1,0,0,0,0
2832,908188140,24,2522,7,5,4,1,970,5,3,0,2,137500,1,1,1,1,1,1,0,1,2,0,0,1,0,1,1,1,11.831379196088763,1,0,0,0,0,1,0,0
2459,528439030,73,8688,7,5,4,3,1616,5,3,0,3,232000,1,1,1,1,1,1,0,1,2,0,0,1,0,1,0,1,12.354492650648448,1,0,0,1,0,1,0,0
1360,903452025,68,6291,6,6,3,1,768,3,1,0,2,93850,0,0,1,0,1,1,0,1,1,0,0,0,0,1,0,0,11.449453042014655,0,0,0,1,0,0,0,1
2723,905200380,68,17529,5,5,3,1,872,2,2,1,1,105000,1,1,1,0,1,1,0,0,1,0,0,0,0,1,0,1,11.56171562913966,0,0,0,1,0,0,0,1
1350,903235100,60,6324,4,6,3,1,520,2,1,0,1,68500,1,0,1,0,1,1,0,0,1,0,0,1,0,1,0,0,11.134589024250317,0,0,1,1,0,0,0,1
136,535106190,80,11600,5,5,3,1,1105,3,5,0,2,154300,1,1,1,0,1,1,0,1,2,0,1,1,0,0,0,1,11.946654038351252,0,0,1,0,0,0,0,0
2235,910201050,50,7288,5,7,3,1,936,5,3,0,0,129850,1,1,1,1,1,1,0,1,2,0,0,0,0,1,0,0,11.774135217090894,0,0,1,0,0,0,0,1
1993,902301130,35,4571,5,7,3,1,616,5,3,0,2,114000,1,1,1,0,1,1,0,1,1,0,0,1,0,1,1,1,11.643953727376633,0,0,0,0,0,0,0,1
367,527214050,63,17423,9,5,5,1,2216,5,1,1,3,501837,1,0,1,1,0,1,0,1,3,0,0,1,0,1,0,0,13.1260306447518,1,1,0,1,0,1,0,0
1309,902300215,100,12665,5,8,3,2,876,4,4,1,3,153900,1,0,1,0,1,1,0,1,1,1,0,1,0,1,1,1,11.94405831982697,0,0,1,0,0,0,0,1
402,527425110,60,9000,4,7,3,1,864,4,3,0,2,130000,1,1,1,1,1,1,0,1,1,0,0,1,0,0,0,1,11.77528972943772,0,0,0,1,0,0,0,0
1592,923203140,32,4500,6,5,5,1,1189,5,2,0,2,160500,1,1,1,0,0,1,0,1,3,0,0,1,0,1,0,0,11.986049221552207,1,0,0,1,0,0,1,0
2409,528186110,48,6373,9,5,5,1,1666,5,2,1,2,310090,1,1,1,1,0,1,0,1,3,0,0,1,0,1,0,1,12.644617856906528,1,1,0,1,0,1,0,0
539,531371050,67,10083,7,5,4,1,1176,5,2,0,2,184900,1,1,1,1,1,1,0,1,3,0,0,1,0,1,0,0,12.127570417375216,1,0,0,1,0,1,0,0
1940,535327200,70,13300,5,7,4,1,928,3,2,0,1,132000,1,1,1,1,0,1,0,1,1,0,0,1,0,1,0,1,11.790557201568507,0,0,0,1,0,0,0,0
588,534129370,80,9600,5,5,4,2,1288,3,3,1,2,163000,1,1,1,0,1,1,0,1,2,1,0,1,0,1,0,0,12.0015054797889,0,0,1,1,0,0,0,0
96,533210060,30,3215,7,5,4,3,600,5,2,0,2,155000,1,1,1,1,1,1,0,1,2,1,0,1,0,1,0,1,11.951180395901384,1,0,0,0,0,1,0,0
1187,534127210,68,11104,6,6,3,3,1427,4,4,0,2,183000,1,0,1,0,1,1,0,1,2,1,0,1,0,1,0,0,12.117241431823558,0,0,0,0,1,0,0,0
2154,907280090,68,15295,7,5,4,2,860,5,3,2,2,211000,1,0,1,1,1,1,0,1,3,1,0,1,0,1,1,1,12.259613412458204,1,0,0,0,0,0,1,0
550,531452260,70,9109,7,5,4,1,754,5,3,0,2,184000,1,1,1,0,1,1,0,1,3,1,0,1,0,1,0,0,12.122691036591123,1,0,1,0,0,0,1,0
811,906226100,64,7018,5,5,0,0,0,3,4,0,2,118858,1,1,1,0,1,1,1,1,2,0,1,1,0,0,0,0,11.685684782260491,0,0,0,1,0,0,0,0
124,534403410,68,14112,5,7,3,3,1152,3,3,1,2,180500,1,0,1,0,0,1,0,1,2,0,0,1,0,0,0,1,12.103486056755072,1,0,0,0,1,0,0,0
1836,533206060,80,3523,8,5,4,1,1141,5,2,0,2,166000,1,0,1,1,1,1,0,1,3,0,0,1,0,1,0,1,12.01974306733868,1,1,0,1,0,1,0,0
779,905200350,88,15312,6,5,3,3,1138,5,3,1,2,148000,1,1,1,0,0,1,0,1,1,1,0,1,0,1,0,1,11.904967552746252,0,0,0,0,1,0,0,0
1886,534276180,74,7450,5,5,3,1,894,4,2,1,2,124000,1,0,1,0,0,1,0,1,1,0,0,1,0,1,0,1,11.728036844587175,0,0,0,1,0,0,0,0
1724,528186090,60,7313,9,5,5,1,1561,5,2,1,2,277500,1,1,1,1,0,1,0,1,3,0,0,1,0,1,0,1,12.533576212168626,1,0,0,1,0,1,0,0
2450,528358030,83,10019,8,5,4,1,1342,5,4,1,3,350000,1,0,1,0,0,1,0,1,2,1,0,1,0,1,0,0,12.765688433465597,1,0,0,0,0,0,1,0
1013,527214030,53,15401,9,5,5,4,1884,5,2,1,3,387000,1,0,1,1,0,1,0,1,3,0,0,1,0,1,0,0,12.866179972011919,1,0,0,1,0,1,0,0
2084,905476170,58,9098,4,7,3,2,528,5,2,0,0,86000,1,0,1,1,1,1,0,1,2,0,0,0,0,1,1,1,11.362102575235644,0,0,0,1,0,0,0,1
1184,533350120,103,16280,8,9,4,2,1426,5,3,1,2,290000,1,1,1,1,1,1,0,1,4,0,0,1,0,1,0,0,12.577636201962656,0,0,0,1,0,0,0,0
728,902477130,72,9392,3,3,2,1,245,3,2,0,0,44000,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,10.691944912900398,0,0,0,1,0,0,0,1
950,914474070,71,12209,6,5,5,1,804,5,3,1,2,215000,1,0,1,1,1,1,0,1,3,1,0,1,0,1,0,0,12.2783933071098,1,0,0,0,0,1,0,0
2524,534125210,79,13110,5,6,4,1,1153,5,2,0,2,146500,1,0,1,0,1,1,0,1,3,0,0,1,0,1,0,0,11.894780707439258,0,0,1,1,0,0,0,0
2513,533223080,68,2651,7,5,4,1,673,5,3,0,2,165000,1,1,1,1,1,1,0,1,3,1,0,1,0,1,0,1,12.013700752882718,1,0,0,0,0,1,0,0
2028,903427040,60,8520,6,7,3,1,714,3,5,1,1,136000,1,1,1,0,1,1,0,0,2,0,0,1,0,1,1,1,11.820410164718188,0,0,1,0,0,0,0,1
51,528188120,36,2628,7,5,4,1,764,5,2,0,2,175500,1,1,1,1,1,1,0,1,2,1,0,1,0,1,0,1,12.075394321888057,1,0,0,0,0,1,0,0
699,902106010,57,6406,5,6,3,1,690,3,3,1,2,150000,1,1,1,0,1,1,0,1,1,1,0,1,0,1,1,1,11.918390573078392,0,0,0,0,0,0,0,1
1881,534252110,68,12342,5,5,3,1,978,3,3,1,1,139900,1,0,1,0,0,1,0,1,1,0,0,1,0,1,0,1,11.848683160653573,0,0,0,1,0,0,0,0
1345,903232090,52,6240,5,7,3,1,1078,3,3,1,2,162900,1,1,1,0,1,1,0,1,2,0,0,0,0,0,0,0,12.000891794590137,1,0,0,0,0,0,0,1
166,535457010,87,10000,6,6,3,1,1116,3,3,0,2,160000,1,0,1,0,0,1,0,1,1,1,0,1,0,1,0,1,11.982929094215963,0,0,0,1,0,0,0,0
781,905228050,68,9000,2,2,0,0,0,2,2,0,0,63900,1,1,1,0,1,1,1,0,1,0,0,0,0,1,0,1,11.065074640365626,0,0,0,1,0,0,0,1
379,527354200,80,11088,6,5,3,1,1140,4,3,1,2,184000,1,1,1,0,1,1,0,1,2,0,0,1,0,0,0,0,12.122691036591123,1,0,0,1,0,0,0,0
1168,533215020,68,4765,9,5,4,3,1614,5,2,1,2,300000,1,0,1,1,0,1,0,1,3,0,0,1,0,1,0,1,12.611537753638338,1,0,0,1,0,1,0,0
1396,905226110,68,10532,5,3,3,2,988,4,3,2,2,145000,1,1,1,0,0,1,0,1,3,0,0,1,0,1,0,0,11.884489021402711,0,0,0,1,0,0,0,0
838,907130100,65,15426,6,5,4,1,928,5,3,0,2,231500,1,0,1,0,1,1,0,1,3,1,0,1,0,1,1,1,12.352335152508426,1,0,0,0,0,0,1,0
1492,908127120,63,13907,5,6,3,1,996,5,3,1,0,108000,1,1,1,0,1,1,0,1,2,0,0,1,0,0,1,1,11.589886506106357,0,0,0,1,0,0,0,1
637,535178040,70,8750,5,5,3,1,1202,3,3,0,1,120000,1,1,1,0,1,1,0,1,1,1,0,1,0,1,0,1,11.695247021764184,0,0,0,1,0,0,0,0
1826,532377140,68,9945,5,5,3,1,988,3,3,0,2,128500,1,0,1,0,0,1,0,1,2,0,0,1,0,0,0,1,11.763684183317412,0,0,0,1,0,0,0,0
173,902106140,56,8960,5,6,3,1,1008,4,2,1,2,115000,1,1,1,0,1,1,0,1,1,0,0,1,0,1,1,1,11.652687407345388,0,0,1,1,0,0,0,1
715,902301080,50,3500,5,7,3,1,720,3,2,0,1,110000,1,1,1,0,1,1,0,1,1,1,0,1,0,1,1,1,11.608235644774552,0,0,0,0,0,0,0,1
2433,528235130,74,9056,8,5,5,3,707,5,3,1,2,178000,1,0,1,1,1,1,0,1,2,1,0,1,0,1,0,1,12.089538829274222,1,0,0,0,0,1,0,0
2866,909282060,70,12320,7,7,3,1,637,5,3,2,3,199500,1,0,1,0,1,1,0,1,1,1,0,1,0,1,0,0,12.203569515312056,0,0,0,0,0,0,0,1
2311,527105060,60,8238,6,5,3,1,813,5,3,1,2,183500,1,0,1,0,1,1,0,1,3,1,0,1,0,1,0,1,12.119969946476761,1,0,0,0,0,0,1,0
1551,910205010,75,6000,5,5,4,2,624,5,3,1,1,126000,1,1,1,0,0,0,0,1,1,1,0,1,0,1,0,0,11.744037185933616,0,0,0,0,1,0,0,0
1049,527454120,24,2529,7,6,4,1,1055,2,2,0,2,148500,1,1,1,0,1,1,0,1,2,0,0,1,0,1,0,0,11.908340237224891,0,0,0,1,0,0,0,0
657,535376060,60,10800,5,7,3,1,676,5,4,0,2,149000,1,1,1,1,1,1,0,1,2,1,0,1,0,1,1,1,11.911701584927597,0,0,0,0,0,0,0,1
414,527454130,24,2349,6,5,4,1,855,3,3,1,2,137900,1,1,1,0,1,1,0,1,2,1,0,1,0,1,0,0,11.834284063781393,0,0,0,0,0,0,0,0
1181,533250160,32,10846,8,5,4,4,1719,5,1,2,2,324000,1,0,1,0,1,1,0,1,3,1,0,1,0,1,0,0,12.688498794774466,1,0,0,1,0,0,1,0
1514,909100170,67,5604,5,6,3,1,864,3,2,0,0,98000,1,1,1,0,1,1,0,0,2,0,0,1,0,1,1,1,11.49272275765271,0,0,0,1,0,0,0,1
1040,527450110,21,1680,6,5,3,1,483,3,2,0,1,103400,1,1,1,0,1,1,0,1,1,2,0,1,0,0,0,0,11.546360241056465,0,0,0,0,0,0,0,0
216,905101100,54,6342,5,8,3,1,780,4,2,0,0,94000,1,1,1,0,1,1,0,0,1,0,0,0,0,1,0,1,11.451050061252142,0,0,1,0,0,0,0,1
1720,528181060,34,4590,8,5,4,2,1554,5,2,1,2,209500,1,1,1,1,1,1,0,1,2,0,0,1,0,1,0,1,12.25247901834433,1,0,0,1,0,1,0,0
2331,527210040,60,18062,10,5,5,4,1528,5,5,1,3,545224,1,0,1,1,0,1,0,1,3,1,0,1,0,1,0,0,13.20895199837856,1,1,0,0,0,1,0,0
204,903426200,60,12900,6,8,3,1,780,5,3,0,0,159900,1,1,1,1,1,1,0,1,1,1,0,0,0,1,1,1,11.982303898822046,1,0,0,0,0,0,0,1
2438,528275080,68,8658,6,5,4,1,982,5,3,1,2,215000,1,0,1,1,1,1,0,1,2,1,0,1,0,0,0,1,12.2783933071098,1,0,0,0,0,1,0,0
89,532378110,68,6897,5,8,3,1,1040,5,3,0,1,127000,1,0,1,1,1,1,0,1,2,1,0,1,0,1,0,1,11.751942365440728,0,0,0,1,0,0,0,0
240,905452160,75,9525,5,7,3,3,1172,3,3,0,1,128000,1,1,1,0,1,1,0,1,2,0,0,1,0,0,1,1,11.759785542901755,0,0,0,1,0,0,0,0
105,533238045,57,12853,8,5,5,1,1642,5,1,1,3,267916,1,0,1,1,1,1,0,1,2,1,0,1,0,1,0,1,12.498428777526835,1,1,0,1,0,1,0,0
2020,903233180,52,6240,6,6,3,1,884,3,3,1,1,127500,1,1,1,0,1,1,0,1,1,0,0,1,0,1,0,0,11.755871643580617,0,0,0,0,0,0,0,1
888,908128060,64,7301,7,5,0,0,0,5,4,1,2,198500,1,1,1,1,1,1,1,1,3,0,0,1,0,1,1,1,12.198544379109382,0,0,0,0,1,1,0,0
1019,527302050,78,12090,6,6,4,1,1422,3,3,1,2,175500,1,0,1,0,1,1,0,1,2,0,0,1,0,0,0,0,12.075394321888057,0,0,0,1,0,0,1,0
2132,907192040,68,8826,7,5,4,1,985,5,3,1,2,217500,1,1,1,1,1,1,0,1,3,1,0,1,0,1,1,1,12.289954129510877,1,0,0,0,0,1,0,0
203,903426180,57,8094,4,5,3,1,888,5,4,1,2,149500,1,1,1,0,1,0,0,1,1,1,0,1,0,1,1,1,11.915051671812877,0,0,0,0,0,0,0,1
420,527455280,68,10710,5,7,3,1,864,5,3,1,2,148800,1,1,1,1,0,1,0,1,1,1,0,1,0,1,0,1,11.910358401381128,1,0,0,1,0,0,0,0
2333,527212030,85,16056,9,5,5,3,1992,5,4,1,3,556581,1,0,1,1,0,1,0,1,3,1,0,1,0,1,0,0,13.229567991666638,1,1,0,0,0,1,0,0
632,535152230,70,8400,6,3,3,1,1478,4,3,2,2,156500,1,1,1,0,0,1,0,1,2,1,0,1,0,1,0,1,11.960811288962345,0,0,0,1,0,0,0,0
2800,907285100,90,11250,7,5,4,3,930,5,4,1,2,237000,1,1,1,0,1,1,0,1,3,1,0,1,0,1,1,1,12.375815420117268,1,0,0,0,0,0,1,0
1885,534276160,70,7535,5,7,3,1,912,2,2,0,1,120000,1,0,1,0,1,1,0,1,1,1,0,1,0,1,0,1,11.695247021764184,0,0,0,1,0,0,0,0
1734,528221050,88,12216,6,5,4,3,1326,5,3,0,2,203000,1,0,1,1,1,1,0,1,3,0,0,1,0,1,0,1,12.220961258023925,1,0,0,1,0,1,0,0
2327,527182020,30,3701,8,5,4,1,1191,3,2,0,2,130000,1,0,1,0,1,1,0,1,2,0,0,1,0,1,0,0,11.77528972943772,0,0,0,1,0,0,1,0
1282,535476370,80,9760,6,6,3,4,780,3,4,0,2,167900,1,1,0,0,1,1,0,1,2,1,0,1,0,1,0,1,12.031123843065632,0,0,0,0,0,0,0,0
