Id,PID,MS SubClass,MS Zoning,Lot Frontage,Lot Area,Neighborhood,Overall Qual,Overall Cond,Roof Style,Exterior 1st,Exterior 2nd,Exter Qual,Exter Cond,Foundation,Bsmt Qual,Bsmt Cond,Bsmt Exposure,BsmtFin Type 1,BsmtFin Type 2,Total Bsmt SF,Heating QC,Bedroom AbvGr,Fireplaces,Garage Cars,Garage Qual,Garage Cond,Mo Sold,Yr Sold,Sale Type,SalePrice,Street_isPaved,Lotshape_isRegular,isLandLevel,isLotInside,isLotCorner,isLotCulDSac,isSlopeNormal,proximity_to,Density,House_style,Bldg_type,isgood_overall,house_age,is_remodeled,is_roofGable,has_masonryveneer,hasgood_Exterior,hasgood_Basement,hasBasement,is_fullfurnished,has_gasFurnace,has_centralAir,total_full_baths,total_half_baths,has_1pluskitchen,has_goodkitchen,is_fullyfunctional,has_fireplace,has_detachedGarage,has_Garage,has_goodGarage,has_paveddriveway,has_pool,has_woodDeck,has_Porch,has_miscFeatures,has_goodFence,isNeigh_collgcr_oldtown,is_densityHigh
1044,527451290,160,RM,21,1680,BrDale,6,5,Gable,HdBoard,HdBoard,3,3,CBlock,3,3,1,4,1,483,3,2,0,1,3,3,7,2008,COD,85400,1,1,1,1,0,0,1,close,Low,2&2.5_story,TownHouse,0,Colonial,0,1,1,1,0,0,0,1,1,1,1,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0
2752,906380150,20,RL,64,7488,CollgCr,7,5,Gable,VinylSd,VinylSd,4,3,PConc,4,3,3,5,1,1208,5,2,0,2,3,3,2,2006,WarrantyDeed,183600,1,0,1,1,0,0,1,close,High,1_story,Single,0,Contemporary,1,1,0,1,1,0,0,1,1,2,0,0,1,1,0,0,1,1,1,0,1,1,0,0,1,1
807,906226060,70,RL,120,26400,SawyerW,5,7,Gable,HdBoard,HdBoard,4,3,PConc,0,0,0,0,0,0,5,4,1,2,3,3,6,2009,WarrantyDeed,131000,1,1,0,0,0,0,1,veryClose,MedLow,2&2.5_story,Single,0,Stone-age,1,1,0,1,0,1,1,1,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0
1177,533236070,160,FV,24,2645,Somerst,8,5,Gable,MetalSd,MetalSd,4,3,PConc,4,3,1,5,1,960,5,3,0,2,3,3,12,2008,Contract,200000,1,1,1,1,0,0,1,close,MedHigh,2&2.5_story,TownHouse,1,Medieval,1,1,1,1,0,0,0,1,1,3,1,0,1,1,0,1,1,1,1,0,1,0,0,0,0,1
1480,907418040,20,RL,74,9627,CollgCr,7,5,Gable,VinylSd,VinylSd,4,3,PConc,4,3,3,5,1,1351,5,3,0,2,3,3,6,2008,WarrantyDeed,193000,1,1,1,1,0,0,1,close,High,1_story,Single,0,Contemporary,1,1,0,1,1,0,0,1,1,2,0,0,1,1,0,0,1,1,1,0,0,1,0,0,1,1
324,923202105,20,RL,93,10114,Mitchel,5,5,Gable,VinylSd,VinylSd,3,3,PConc,5,3,3,1,1,1430,5,3,0,2,3,3,3,2010,WarrantyDeed,173500,1,1,1,1,0,0,1,close,MedLow,1_story,Single,0,Contemporary,1,1,0,1,1,0,0,1,1,2,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0
1311,902301140,70,RM,34,4571,OldTown,5,5,Gable,AsbShng,AsbShng,3,3,BrkTil,3,3,1,1,1,624,2,4,0,3,2,2,5,2008,COD,98000,1,1,1,1,0,0,1,close,High,2&2.5_story,Single,0,Stone-age,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,1,0,1,0,0,1,0,0,1,1
770,905101490,20,RL,80,8816,Sawyer,5,6,Gable,VinylSd,VinylSd,3,3,PConc,3,3,1,4,1,1121,3,3,0,2,3,3,6,2009,WarrantyDeed,139000,1,1,1,0,1,0,1,veryClose,MedHigh,1_story,Single,0,Colonial,0,1,0,1,0,0,0,1,1,2,0,0,0,1,0,1,1,1,1,0,0,1,0,0,0,1
2063,905107140,20,RL,71,8197,Sawyer,6,5,Gable,Plywood,Plywood,3,3,CBlock,3,3,1,1,1,660,5,3,1,2,3,3,4,2007,WarrantyDeed,143500,1,1,1,1,0,0,1,close,MedHigh,1_story,Single,0,Colonial,0,1,1,1,0,0,0,1,1,1,1,0,0,1,1,0,1,1,1,0,1,0,0,0,0,1
69,528458070,60,FV,72,8640,Somerst,7,5,Gable,VinylSd,VinylSd,3,3,PConc,4,3,2,5,1,756,5,3,0,2,3,3,6,2010,Contract,215200,1,1,1,1,0,0,1,close,MedHigh,2&2.5_story,Single,0,Contemporary,1,1,0,1,1,0,0,1,1,2,1,0,1,1,0,0,1,1,1,0,1,1,0,0,0,1
2062,905106150,20,RL,109,8724,Sawyer,5,5,Gable,VinylSd,VinylSd,3,3,CBlock,4,3,1,3,1,894,4,3,1,2,3,3,5,2007,WarrantyDeed,129000,1,1,1,1,0,0,1,close,MedHigh,1_story,Single,0,Colonial,0,1,0,1,0,0,0,1,1,1,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,1
351,527131030,120,RL,40,5664,StoneBr,8,5,Gable,CemntBd,CmentBd,4,3,PConc,4,3,1,5,1,1501,5,2,1,2,3,3,10,2009,WarrantyDeed,278000,1,0,1,1,0,0,1,close,Low,1_story,TownHouse,1,Contemporary,1,1,0,1,0,0,0,1,1,3,0,0,1,1,1,0,1,1,1,0,1,1,0,0,0,0
2393,528142010,60,RL,103,12867,NridgHt,8,5,Gable,CemntBd,CmentBd,4,3,PConc,5,3,3,1,1,1209,5,3,1,2,3,3,7,2006,New Home,344133,1,0,1,0,1,0,1,close,MedHigh,2&2.5_story,Single,1,Contemporary,1,1,1,1,1,0,0,1,1,2,1,0,1,1,1,0,1,1,1,0,1,1,0,0,0,1
12,527165230,20,RL,68,7980,Gilbert,6,7,Gable,HdBoard,HdBoard,3,4,PConc,4,3,1,4,1,1168,5,3,0,2,3,3,3,2010,WarrantyDeed,185000,1,0,1,1,0,0,1,close,MedHigh,1_story,Single,1,Medieval,1,1,0,1,0,0,0,1,1,3,0,0,0,1,0,0,1,1,1,0,1,1,1,1,0,1
2339,527250040,190,RL,100,34650,Gilbert,5,5,Hip,Wd Sdng,Wd Sdng,3,3,CBlock,3,3,2,4,1,1056,3,3,0,2,3,3,1,2006,WarrantyDeed,145000,1,1,0,1,0,0,1,close,MedHigh,1_story,Single,0,Colonial,0,0,0,1,0,0,0,1,0,2,0,0,0,1,0,0,1,1,1,0,1,0,0,0,0,1
624,535104120,20,RL,92,10573,NAmes,6,6,Hip,MetalSd,MetalSd,3,3,CBlock,3,3,1,4,1,1453,5,3,1,2,3,3,4,2009,WarrantyDeed,187500,1,0,1,0,1,0,1,close,High,1_story,Single,0,Colonial,0,0,1,1,0,0,0,1,1,3,0,0,0,1,1,0,1,1,1,0,0,1,0,1,0,1
86,532376160,20,RL,65,8450,Sawyer,5,8,Gable,MetalSd,MetalSd,3,4,CBlock,3,3,1,5,3,894,5,3,1,1,3,3,4,2010,WarrantyDeed,138500,1,1,1,1,0,0,1,veryClose,MedHigh,1_story,Single,1,Colonial,1,1,0,1,0,0,0,1,1,2,0,0,0,1,1,1,1,1,1,0,1,1,0,0,0,1
1534,909277040,50,RL,68,11700,Crawfor,5,6,Gable,WdShing,Wd Shng,3,3,CBlock,3,3,1,3,1,942,5,4,1,1,3,3,7,2008,WarrantyDeed,198000,1,0,0,1,0,0,0,close,MedLow,1.5_story,Single,0,Stone-age,0,1,0,1,0,0,0,1,1,2,0,0,1,0,1,1,1,1,1,0,0,1,0,0,0,0
2243,911103060,190,C (all),75,8250,IDOTRR,5,6,Gable,VinylSd,VinylSd,3,4,CBlock,3,3,1,1,1,957,2,4,0,0,0,0,6,2007,WarrantyDeed,119600,1,1,1,1,0,0,1,veryClose,MedLow,2&2.5_story,Single,0,Stone-age,1,1,0,1,0,0,0,1,0,2,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0
1957,535450190,50,RL,60,8064,NAmes,5,7,Gable,MetalSd,MetalSd,3,4,CBlock,3,3,2,1,1,672,5,3,1,2,3,3,7,2007,WarrantyDeed,122900,1,1,1,0,1,0,1,veryClose,High,1.5_story,Single,0,Stone-age,1,1,0,1,0,0,0,1,1,1,0,0,0,1,1,1,1,1,1,0,0,0,1,0,0,1
380,527355150,20,RL,80,9600,NWAmes,8,5,Hip,BrkFace,BrkFace,4,3,PConc,4,3,1,4,1,2524,3,4,1,2,3,3,7,2009,WarrantyDeed,278000,1,1,1,1,0,0,1,far,MedLow,1_story,Single,1,Medieval,0,0,0,1,0,0,0,1,1,3,1,0,1,1,1,0,1,1,1,0,1,1,0,0,0,0
2860,909276010,70,RL,68,11435,Crawfor,8,7,Gable,BrkFace,Stucco,3,3,PConc,4,3,1,1,1,792,2,3,2,2,3,3,6,2006,WarrantyDeed,230000,1,0,0,0,1,0,0,close,MedLow,2&2.5_story,Single,1,Stone-age,0,1,0,1,0,0,0,1,1,1,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0
2517,533250130,120,RL,30,9549,Veenker,8,5,Hip,BrkFace,BrkFace,4,4,PConc,4,4,3,2,5,1494,5,2,1,2,3,3,4,2006,WarrantyDeed,270000,1,0,1,0,0,1,1,close,veryLow,1_story,TownHouse,1,Medieval,0,0,0,1,1,0,0,1,1,2,1,0,1,1,1,0,1,1,1,0,0,1,0,0,0,0
1933,535302070,20,RL,60,10950,NAmes,6,6,Hip,Wd Sdng,Wd Sdng,3,3,CBlock,3,3,1,4,1,948,3,2,0,2,3,3,4,2007,WarrantyDeed,125000,1,1,1,1,0,0,1,close,High,1_story,Single,0,Colonial,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,1,1,1,0,0,0,1,0,0,0,1
820,906340110,20,RL,79,10637,CollgCr,8,5,Hip,VinylSd,VinylSd,4,3,PConc,5,3,4,5,1,1705,5,3,1,3,3,3,9,2009,WarrantyDeed,297000,1,1,1,1,0,0,1,close,High,1_story,Single,1,Contemporary,1,0,1,1,1,0,0,1,1,3,0,0,1,1,1,0,1,1,1,0,1,1,0,0,1,1
675,535426150,20,RL,80,9000,NAmes,6,6,Flat,Wd Sdng,Wd Sdng,3,3,CBlock,4,3,4,1,1,160,2,2,1,1,3,3,4,2009,WarrantyDeed,113500,1,0,0,1,0,0,0,close,High,1_story,Single,0,Colonial,0,0,1,1,1,0,0,1,1,1,0,0,0,1,1,0,1,1,1,0,0,1,0,0,0,1
2910,923225240,160,RM,41,2665,MeadowV,5,6,Gable,CemntBd,CmentBd,3,3,PConc,3,3,1,4,4,757,5,4,1,1,3,3,7,2006,WarrantyDeed,127000,1,1,1,1,0,0,1,close,Low,2&2.5_story,TownHouse,0,Colonial,0,1,0,1,0,0,0,1,1,2,0,0,0,1,1,0,1,1,1,0,1,1,0,0,0,0
21,527358140,20,RL,105,11751,NWAmes,6,6,Hip,Plywood,Plywood,3,3,CBlock,4,3,1,3,1,1844,5,3,1,2,3,3,1,2010,COD,190000,1,0,1,1,0,0,1,close,MedLow,1_story,Single,0,Colonial,0,0,1,1,0,0,0,1,1,2,0,0,0,1,1,0,1,1,1,0,0,1,0,0,0,0
1873,534177210,20,RL,80,9600,NWAmes,7,6,Hip,HdBoard,HdBoard,3,3,CBlock,3,3,1,4,1,1242,2,3,1,2,3,3,9,2007,WarrantyDeed,175500,1,1,1,1,0,0,1,close,MedLow,1_story,Single,1,Colonial,0,0,1,1,0,0,0,1,1,1,1,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0
2125,907135050,20,RL,60,8428,CollgCr,5,7,Gable,VinylSd,VinylSd,3,4,PConc,4,4,1,5,1,990,5,3,0,1,3,3,7,2007,WarrantyDeed,146000,1,0,1,1,0,0,1,close,High,1_story,Single,0,Medieval,0,1,0,1,1,0,0,1,1,2,0,0,0,1,0,1,1,1,1,0,1,0,0,0,1,1
1489,908102260,20,RL,75,9937,Edwards,5,6,Gable,HdBoard,HdBoard,4,3,CBlock,3,3,1,3,2,1256,4,3,0,1,3,3,6,2008,WarrantyDeed,147500,1,1,1,1,0,0,1,close,MedHigh,1_story,Single,0,Colonial,0,1,0,1,0,0,0,1,1,2,1,0,0,1,0,0,1,1,1,0,1,1,0,0,1,1
2383,528110050,20,RL,107,13891,NridgHt,10,5,Gable,VinylSd,VinylSd,5,3,PConc,5,4,4,5,1,2076,5,2,1,3,3,3,9,2006,New Home,465000,1,1,1,1,0,0,1,close,MedHigh,1_story,Single,1,Contemporary,1,1,1,1,1,0,0,1,1,3,1,0,1,1,1,0,1,1,1,0,1,1,0,0,0,1
983,923275040,85,RL,68,9101,Mitchel,5,6,Gable,Plywood,Plywood,3,4,PConc,4,3,3,5,1,1097,5,1,1,2,3,3,7,2009,WarrantyDeed,165500,1,0,1,0,1,0,1,close,MedLow,Splitlevel,Single,0,Colonial,0,1,1,1,1,0,0,1,1,2,0,0,1,1,1,0,1,1,1,0,1,1,0,0,0,0
1325,902406090,50,RM,81,12150,OldTown,5,5,Gable,MetalSd,MetalSd,3,3,BrkTil,3,3,1,1,1,1050,5,4,0,1,2,3,11,2008,WarrantyDeed,131500,1,1,1,1,0,0,1,close,High,1.5_story,Single,0,Colonial,0,1,1,1,0,0,0,1,0,2,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,1
1378,905102170,20,RL,70,11200,Sawyer,5,5,Hip,HdBoard,HdBoard,3,3,CBlock,3,3,1,4,1,1040,5,3,0,1,3,3,2,2008,WarrantyDeed,129500,1,1,1,1,0,0,1,close,MedHigh,1_story,Single,0,Colonial,0,0,0,1,0,0,0,1,1,2,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,1
1537,909281110,70,RL,100,9670,Crawfor,8,6,Gable,BrkFace,Stucco,3,3,PConc,3,2,1,2,1,608,3,4,2,2,2,3,6,2008,WarrantyDeed,257076,1,0,0,1,0,0,0,close,MedLow,2&2.5_story,Single,1,Stone-age,0,1,1,1,0,0,0,1,1,1,1,0,0,1,1,1,1,0,1,0,0,1,0,0,0,0
905,909101140,50,RL,60,10998,Edwards,5,5,Gable,Wd Sdng,Wd Sdng,3,3,CBlock,3,3,1,2,3,984,5,3,0,2,3,3,7,2009,WarrantyDeed,117000,1,1,1,1,0,0,1,close,MedHigh,1.5_story,Single,0,Stone-age,0,1,0,1,0,0,0,1,1,2,0,0,0,0,0,1,1,1,1,0,0,1,0,0,1,1
1532,909275050,70,RL,60,7200,Crawfor,7,6,Gable,Stucco,Wd Shng,3,2,BrkTil,4,3,1,1,1,776,3,3,1,1,3,3,2,2008,WarrantyDeed,149000,1,1,0,1,0,0,0,close,MedLow,2&2.5_story,Single,1,Stone-age,1,1,0,0,0,0,0,1,1,1,1,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0
132,534475100,20,RL,80,9920,NAmes,5,5,Gable,HdBoard,HdBoard,3,3,CBlock,3,3,1,4,2,1056,3,3,0,1,3,3,2,2010,WarrantyDeed,128000,1,1,1,1,0,0,1,close,High,1_story,Single,0,Colonial,0,1,1,1,0,0,0,1,1,2,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,1
1078,528188090,160,RL,36,2448,NridgHt,7,5,Gable,VinylSd,Wd Shng,4,3,PConc,4,3,1,1,1,764,5,2,0,2,3,3,10,2008,WarrantyDeed,155000,1,1,1,1,0,0,1,close,MedHigh,2&2.5_story,TownHouse,0,Contemporary,1,1,1,1,0,0,0,1,1,2,1,0,1,1,0,0,1,1,1,0,0,1,0,0,0,1
2511,533221080,160,FV,68,2998,Somerst,6,5,Gable,MetalSd,MetalSd,4,3,PConc,4,3,1,5,1,756,5,2,0,2,3,3,6,2006,WarrantyDeed,166000,1,1,1,1,0,0,1,close,MedHigh,2&2.5_story,TownHouse,0,Contemporary,1,1,1,1,0,0,0,1,1,2,1,0,1,1,0,1,1,1,1,0,0,1,0,0,0,1
912,909250220,50,RL,65,7804,SWISU,4,3,Gable,WdShing,Plywood,3,3,BrkTil,3,3,1,3,1,1122,3,4,2,2,3,3,12,2009,WarrantyDeed,135000,1,1,1,1,0,0,1,close,Low,1.5_story,Single,0,Stone-age,0,1,0,1,0,0,0,1,1,3,0,0,1,0,1,1,1,1,1,0,1,1,0,0,0,0
2351,527356020,60,RL,80,16692,NWAmes,7,5,Gable,Plywood,Plywood,3,3,CBlock,4,3,1,3,2,1392,3,5,2,2,3,3,7,2006,WarrantyDeed,250000,1,0,1,1,0,0,1,veryClose,MedLow,2&2.5_story,Single,0,Colonial,0,1,1,1,0,0,0,1,1,4,1,0,1,1,1,0,1,1,1,1,0,1,1,0,0,0
330,923226250,160,RM,21,1476,MeadowV,4,7,Gable,CemntBd,CmentBd,3,3,CBlock,3,3,1,5,1,546,5,3,0,0,0,0,3,2010,WarrantyDeed,76000,1,1,1,1,0,0,1,close,Low,2&2.5_story,TownHouse,0,Colonial,0,1,0,1,0,0,0,1,1,1,1,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0
2586,535305120,20,RL,75,10170,NAmes,6,6,Hip,Wd Sdng,Wd Sdng,3,3,CBlock,3,3,1,1,1,216,3,2,1,2,3,3,6,2006,WarrantyDeed,155000,1,1,1,0,1,0,1,close,High,1_story,Single,0,Colonial,0,0,1,1,0,0,0,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0,0,0,0,1
224,905106140,60,RL,80,9364,Sawyer,6,7,Gable,HdBoard,HdBoard,3,3,CBlock,3,3,1,4,1,663,3,4,0,1,3,3,3,2010,WarrantyDeed,158000,1,1,1,0,1,0,1,close,MedHigh,2&2.5_story,Single,1,Colonial,0,1,1,1,0,0,0,1,1,1,1,0,0,1,0,0,1,1,1,0,1,1,0,0,0,1
98,533212020,160,FV,24,2544,Somerst,7,5,Gable,MetalSd,MetalSd,4,3,PConc,4,3,1,5,4,600,5,2,0,2,3,3,2,2010,WarrantyDeed,149500,1,1,1,1,0,0,1,close,MedHigh,2&2.5_story,TownHouse,0,Contemporary,1,1,0,1,0,0,0,1,1,3,1,0,1,1,0,1,1,1,1,0,0,1,0,0,0,1
2565,534479300,20,RL,82,9888,NAmes,5,6,Gable,MetalSd,MetalSd,3,4,CBlock,3,3,1,3,1,936,3,2,0,1,3,3,3,2006,WarrantyDeed,121000,1,1,1,1,0,0,1,close,High,1_story,Single,0,Colonial,0,1,0,1,0,0,0,1,1,1,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,1
1934,535304170,20,RL,68,7942,NAmes,6,7,Hip,Wd Sdng,Wd Sdng,3,3,CBlock,3,3,1,4,4,1040,3,3,0,1,3,3,6,2007,WarrantyDeed,136000,1,1,1,1,0,0,1,close,High,1_story,Single,1,Colonial,0,0,0,1,0,0,0,1,1,1,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,1
997,527107010,60,RL,68,15038,Gilbert,6,5,Gable,HdBoard,HdBoard,3,3,PConc,4,3,1,4,1,916,4,3,1,2,3,3,11,2008,WarrantyDeed,173000,1,0,1,0,1,0,1,close,MedHigh,2&2.5_story,Single,0,Medieval,0,1,0,1,0,0,0,1,1,2,1,0,0,1,1,0,1,1,1,0,1,1,0,0,0,1
64,528382020,60,RL,92,11764,NoRidge,8,7,Gable,VinylSd,VinylSd,4,3,PConc,4,3,1,5,1,1152,5,4,1,3,3,3,4,2010,WarrantyDeed,290000,1,0,1,0,0,1,1,close,Low,2&2.5_story,Single,1,Medieval,1,1,1,1,0,0,0,1,1,2,1,0,1,1,1,0,1,1,1,0,1,1,0,0,0,0
1799,528458130,60,FV,75,9000,Somerst,8,5,Gable,CemntBd,CmentBd,4,3,PConc,4,3,3,5,1,1184,5,4,1,2,3,3,8,2007,New Home,303477,1,1,1,1,0,0,1,close,MedHigh,2&2.5_story,Single,1,Contemporary,1,1,0,1,1,0,0,1,1,2,1,0,1,1,1,0,1,1,1,0,1,1,0,0,0,1
230,905109170,20,RL,68,20062,ClearCr,7,7,Hip,Wd Sdng,Wd Sdng,4,4,CBlock,4,3,4,4,1,1420,4,1,2,2,3,3,4,2010,WarrantyDeed,270000,1,0,0,1,0,0,0,close,Low,1_story,Single,1,Colonial,1,0,0,1,1,0,0,1,1,2,1,0,0,1,1,0,1,1,1,0,1,0,0,0,0,0
1295,902109160,50,RM,81,7308,OldTown,5,5,Gable,WdShing,Wd Shng,2,2,BrkTil,3,3,1,4,1,936,4,2,1,1,2,2,6,2008,WarrantyDeed,122250,1,1,1,0,1,0,1,veryClose,High,1.5_story,Single,0,Stone-age,0,1,0,0,0,0,0,1,0,1,0,0,1,1,1,1,1,0,0,0,0,1,0,0,1,1
638,535178120,20,RL,70,8750,NAmes,5,5,Gable,AsbShng,AsbShng,3,3,CBlock,3,3,1,4,2,1382,4,3,0,1,3,3,7,2009,WarrantyDeed,153000,1,1,1,1,0,0,1,close,High,1_story,Single,0,Colonial,0,1,0,1,0,0,0,1,1,1,1,0,1,1,0,0,1,1,1,0,1,0,0,1,0,1
2278,923202134,20,RL,70,8402,Mitchel,5,5,Gable,VinylSd,VinylSd,3,3,PConc,4,3,1,4,1,1120,5,3,0,0,0,0,12,2007,New Home,147000,1,1,1,1,0,0,1,veryClose,MedLow,1_story,Single,0,Contemporary,1,1,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
2202,909252150,70,RL,63,4000,Crawfor,7,8,Gable,Wd Sdng,Wd Sdng,3,3,BrkTil,4,3,1,5,1,531,3,2,1,1,3,3,6,2007,WarrantyDeed,148500,1,1,1,1,0,0,1,close,MedLow,2&2.5_story,Single,1,Stone-age,0,1,0,1,0,0,0,1,1,2,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0
2833,908188150,160,RM,32,3363,Edwards,7,5,Gable,VinylSd,VinylSd,4,3,PConc,4,3,1,1,1,976,5,3,0,2,3,3,4,2006,WarrantyDeed,130000,1,1,1,1,0,0,1,close,MedHigh,2&2.5_story,TownHouse,0,Contemporary,1,1,1,1,0,0,0,1,1,2,0,0,1,0,0,1,1,1,1,0,0,1,0,0,1,1
1707,528150040,20,RL,94,13615,NridgHt,9,5,Hip,MetalSd,MetalSd,5,3,PConc,5,3,4,1,1,1802,5,3,1,3,3,3,6,2007,WarrantyDeed,372000,1,0,0,0,1,0,0,close,MedHigh,1_story,Single,1,Contemporary,1,0,1,1,1,0,0,1,1,2,1,0,1,1,1,0,1,1,1,0,1,1,0,0,0,1
2428,528228565,120,RL,43,3013,Blmngtn,7,5,Gable,VinylSd,VinylSd,4,3,PConc,4,3,4,5,1,1362,5,2,1,2,3,3,4,2006,WarrantyDeed,213490,1,1,1,1,0,0,1,close,Low,1_story,TownHouse,0,Contemporary,1,1,1,1,1,0,0,1,1,2,0,0,1,1,1,0,1,1,1,0,1,1,0,0,0,0
242,905453080,20,RL,44,17485,Edwards,7,5,Gable,VinylSd,VinylSd,4,3,PConc,4,3,4,5,1,1508,5,1,2,2,3,3,1,2010,Contract,308030,1,0,1,1,0,0,1,close,MedHigh,1_story,Single,0,Contemporary,1,1,1,1,1,0,0,1,1,2,0,0,1,1,1,0,1,1,1,0,0,0,0,0,1,1
